Name,SMILES,pIC50,Reference
mGlu receptor modulator 27,Fc1ccc(c(c1)F)C1CCN(CC1)c1ccn2c(c1C(F)(F)F)nnc2CC1CC1,6.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 3,C[C@@H]1CCCN1CCCOc1ccc(cc1)c1sc2c(n1)CCN(C2)C(=O)C,5.200659451,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 13,CC(=O)N1CCc2c(C1)sc(n2)c1ccc(cc1)OC1CC(C1)N1CCCCC1,4.698970004,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 18,O=C(N1CCc2c(C1)sc(n2)c1ccc(cc1)OC1CC(C1)N1CCCCC1)N1CCOCC1,5.431798276,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 31,O=C(c1ccc(cc1)OC1CC(C1)N1CCCCC1)N1CCC(CC1)(F)F,4.769551079,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 14,OCC(=O)N1CCc2c(C1)sc(n2)c1ccc(cc1)OC1CC(C1)N1CCCCC1,4.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 15,NC(=O)CC(=O)N1CCc2c(C1)sc(n2)c1ccc(cc1)OC1CC(C1)N1CCCCC1,4.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 16,NC(=O)CN1CCc2c(C1)sc(n2)c1ccc(cc1)OC1CC(C1)N1CCCCC1,4.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 17,OC[C@H](CN1CCc2c(C1)sc(n2)c1ccc(cc1)OC1CC(C1)N1CCCCC1)O,4.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 19,NC(=O)N1CCc2c(C1)sc(n2)c1ccc(cc1)OC1CC(C1)N1CCCCC1,4.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 28,O=C(c1ccc(cc1)OC1CC(C1)N1CCCCC1)N1CCCCC1,4.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 29,O=C(c1ccc(cc1)OC1CC(C1)N1CCCCC1)N1CCOCC1,4.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 32,OC1CCN(CC1)C(=O)c1ccc(cc1)OC1CC(C1)N1CCCCC1,4.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 33,CC(N1CCN(CC1)C(=O)c1ccc(cc1)OC1CC(C1)N1CCCCC1)C,4.522878745,"(Didziapetris & Lanevskij, 2016)"
Histamine receptor H3R agonist 35,O=C(c1ccc(cc1)OC1CC(C1)N1CCCCC1)N1CCCC1,4.522878745,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 10,O=C(N(S(=O)(=O)c1ccccc1)C)N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl,6.494850022,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 8a,O=C(N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl)NS(=O)(=O)c1ccccc1,5,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 8d,Clc1ccc(cc1)S(=O)(=O)NC(=O)N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl,4.899629455,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 9a,O=C(c1ccccc1)NS(=O)(=O)N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl,5.200659451,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 9b,O=C(c1ccccc1)NS(=O)(=O)N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1Cl)C)Cl,5.397940009,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 8b,Cc1ccc(cc1)S(=O)(=O)NC(=O)N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl,4.795880017,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 8g,O=C(N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl)NS(=O)(=O)c1ccccc1C,5,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 8i,COc1ccccc1S(=O)(=O)NC(=O)N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl,5,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 8q,Cc1ccc(cc1)S(=O)(=O)NC(=O)N1CCC(CC1)N1CCC(CC1)Oc1ccc(cc1C)Cl,5,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 8u,O=C(N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1Cl)C)Cl)NS(=O)(=O)c1ccc(cc1)N(C)C,4.698970004,"(Didziapetris & Lanevskij, 2016)"
CCR3/H1 antagonist 3d,OC(=O)COc1cccc(c1)C(=O)N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl,4.251811973,"(Didziapetris & Lanevskij, 2016)"
CCR3 antagonist 8,OC(=O)C(c1ccccc1)N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl,5.301029996,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1c,COc1cccc(c1)c1cccc(c1)C1(C)N=C(C(=N1)C)N,4.777283529,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1f,COc1ccc(cc1)C1(N=C(C(=N1)N)C(C)C)c1cccc(c1)c1cncnc1,4.571865206,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1k,COc1ccc(cc1)C1(N=C(C(=N1)C)N)c1cccc(c1)c1cccnc1,4.721246399,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1p,Clc1cncc(c1)c1cccc(c1)C1(N=C(C(=N1)C)N)C1CC1,4.906578315,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1q,NC1=NC(N=C1C)(C1CCCCC1)c1cccc(c1)c1cccnc1,4.540607512,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1r,COc1cccc(c1)c1cccc(c1)C1(N=C(C(=N1)C)N)C1CCOCC1,4.677780705,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1t,CC#Cc1cncc(c1)c1cccc(c1)C1(N=C(C(=N1)C)N)C1CC1,4.841637508,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1u,CC#Cc1cncc(c1)c1cc(ccc1O)C1(N=C(C(=N1)C)N)C1CC1,4.610833916,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1a,NC1=NC(N=C1c1ccccc1)(C)c1cccc(c1)c1cccnc1,4.48148606,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1b,CC(C1=NC(N=C1N)(C)c1cccc(c1)c1cccnc1)C,4.48148606,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1d,NC1=NC(N=C1C)(C)c1cccc(c1)c1cccnc1,4.48148606,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1e,CC(C1=NC(N=C1N)(c1ccccc1)c1cccc(c1)c1cncnc1)C,4.48148606,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1i,Fc1ccc(cc1)C1(N=C(C(=N1)C)N)c1cccc(c1)c1cccnc1,4.48148606,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1j,COc1ccc(cc1)C1(N=C(C(=N1)C)N)c1cccc(c1)c1cncnc1,4.48148606,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1l,COc1ccc(cc1C)C1(N=C(C(=N1)C)N)c1cccc(c1)c1cncnc1,4.48148606,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1m,COc1c(C)cc(cc1C)C1(N=C(C(=N1)C)N)c1cccc(c1)c1cncnc1,4.48148606,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1n,CC#Cc1cncc(c1)c1cccc(c1)C1(N=C(C(=N1)C)N)c1cc(C)c(c(c1)C)OC,4.48148606,"(Didziapetris & Lanevskij, 2016)"
BACE-1 inhibitor 1o,NC1=NC(N=C1C)(Cc1ccccc1)c1cccc(c1)c1cncnc1,4.48148606,"(Didziapetris & Lanevskij, 2016)"
Fluphenazine,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,6.987162775,"(Didziapetris & Lanevskij, 2016)"
Sulpiride,CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(=O)(=O)N,4,"(Didziapetris & Lanevskij, 2016)"
beta-Tryptase inhibitor 4a,NCc1ccc(c(c1)C1CCN(CC1)C(=O)c1cccc(c1)c1onc(n1)c1cccs1)F,6.096910013,"(Didziapetris & Lanevskij, 2016)"
beta-Tryptase inhibitor 4c,NCc1ccc(c(c1)C1CCN(CC1)C(=O)c1cc(cc(c1)c1onc(n1)c1cccs1)C(=O)O)F,4.11463878,"(Didziapetris & Lanevskij, 2016)"
beta-Tryptase inhibitor 4e,NCc1ccc(c(c1)C1CCN(CC1)C(=O)c1cc(cc(c1)c1onc(n1)c1cccs1)C(=O)N)F,4.76700389,"(Didziapetris & Lanevskij, 2016)"
beta-Tryptase inhibitor 4d,NCc1cccc(c1)C1CCN(CC1)C(=O)c1cc(cc(c1)c1onc(n1)c1cccs1)C(=O)N,4.522878745,"(Didziapetris & Lanevskij, 2016)"
MCH-R1 antagonist 3a,Clc1ccc(cc1)C(CCNC1CCN(C1)C(=O)N1CCC(C1)N(C(=O)c1ccc(cc1)c1ccc(cc1)C(F)(F)F)C)(C)C,5.585026652,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 3,Clc1ccc(cc1)CNC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,5.281498311,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 32,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)C,5.142667504,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 35,CCC(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,5.187755303,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 36,Clc1ccc(cc1)C(C1CC1)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,5.585026652,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 37,Clc1ccc(cc1)C(c1ccccc1)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,5.795880017,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 38,CCCCC(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,5.455931956,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 40,Fc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)C,4.568636236,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 48,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)CCCN1CCOCC1,4.126098402,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 51,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)CCN1CCCC1,4.677780705,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 52,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)CCN1CCCCC1,4.53165267,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 59,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)CCNS(=O)(=O)C,4.096910013,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 62,OCCCC(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,4.236572006,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 63,COCCC(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,5.026872146,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 39,O=C(C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)NC(c1ccccc1)C,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 41,O=C(C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)NC(c1cccnc1)C,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 42,CC(c1ccccn1)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 43,O=C(C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)NC(c1ccc(cc1)S(=O)(=O)C)C,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 44,COc1cc(ccc1OC)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)C,4,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 45,CN(CCC(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)C,4,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 46,CN(CCCC(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)C,4,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 47,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)CCCN1CCCC1,4,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 49,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)CCCN1CCCCC1,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 53,NC(=O)C(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,4,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 54,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)CC(=O)N(C)C,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 55,CC(=O)NCC(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 56,Clc1ccc(cc1)C(CS(=O)(=O)N)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 57,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)CCS(=O)(=O)N,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 58,Clc1ccc(cc1)C(NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2)CNS(=O)(=O)C,4.477555766,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 60,OCC(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,4,"(Didziapetris & Lanevskij, 2016)"
Akt kinase inhibitor 64 (AZD5363),OCCC(c1ccc(cc1)Cl)NC(=O)C1(N)CCCN(C1)c1ncnc2c1cc[nH]2,4,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 14b,CN(CCc1sc2c(c1C(c1ncccc1C)C)cccc2)C,6.040958608,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 14c,COc1cccnc1C(c1c(CCN(C)C)sc2c1cccc2)C,5.522878745,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 14d,CN(CCc1sc2c(c1C(c1ncccc1F)C)cccc2)C,6.48148606,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 16c,COc1ncccc1C(c1c(CCN(C)C)sc2c1cccc2)C,5.744727495,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 16d,CN(CCc1sc2c(c1C(c1cccnc1F)C)cccc2)C,5.638272164,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 16e,CN(CCc1sc2c(c1C(c1cccnc1Cl)C)cccc2)C,5.823908741,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 22,CNCCc1sc2c(c1C(c1ccccn1)C)cccc2,5.187086643,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 26b,CC(c1c(CCN2CCC2)sc2c1cccc2)c1ccccn1,6.13667714,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 16a,CN(CCc1sc2c(c1C(c1cccnc1)C)cccc2)C,6.30980392,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 18,CN(CCc1sc2c(c1C(c1cscn1)C)cccc2)C,5.769551079,"(Didziapetris & Lanevskij, 2016)"
H1-antihistamine 28b,CN(CCc1sc2c(c1C(n1cccn1)C)cccc2)C,5.698970004,"(Didziapetris & Lanevskij, 2016)"
Gly transporter inhibitor 4,CCN1CC2C(C1)C2CN(C(=O)c1ncn(c1)C)Cc1cccc(c1)OC(F)(F)F,5.657577319,"(Didziapetris & Lanevskij, 2016)"
Gly transporter inhibitor 5,Cn1cnc(c1)C(=O)N(Cc1cccc(c1)OC(F)(F)F)CC1C2C1CN(C2)CC1CC1,6.27572413,"(Didziapetris & Lanevskij, 2016)"
Gly transporter inhibitor 6,CN1CC2C(C1)C2CN(C(=O)c1ncn(c1)C)Cc1cccc(c1)OC(F)(F)F,5.420216403,"(Didziapetris & Lanevskij, 2016)"
Gly transporter inhibitor 7,Cn1cnc(c1)C(=O)N(Cc1cccc(c1)OC(F)(F)F)CC1C2C1CN(C2)CC1CCCC1,6.337242168,"(Didziapetris & Lanevskij, 2016)"
Gly transporter inhibitor 10,CN1CC2C(C1)C2CN(C(=O)c1ncn(c1)C)Cc1ccc(c(c1)Cl)F,5.070581074,"(Didziapetris & Lanevskij, 2016)"
Gly transporter inhibitor 13,Cn1cnc(c1)C(=O)N(Cc1ccc(c(c1)Cl)F)CC1C2C1CNC2,4.835647144,"(Didziapetris & Lanevskij, 2016)"
Gly transporter inhibitor 21,NC1CCC(CC1)CN(C(=O)c1ncn(c1)C)Cc1cccc(c1)Cl,4.187086643,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 11,CN(C(=O)c1ccc(cc1)C1=CC2(CCNCC2)Oc2c1cccc2)C,4.63638802,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 22,CCN(C(=O)c1ccc(cc1)[C@@H]1CC2(CCNCC2)Oc2c1cccc2)CC,5.293282218,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 25,CCN(C(=O)c1ccc(s1)C1=CC2(CCNCC2)Oc2c1cccc2)CC,5.899629455,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 26,CCN(C(=O)c1ccc(o1)C1=CC2(CCNCC2)Oc2c1cccc2)CC,5.289882635,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 27,CCN(C(=O)c1scc(c1)C1=CC2(CCNCC2)Oc2c1cccc2)CC,5.460923901,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 28,CCN(C(=O)c1ccc(cn1)C1=CC2(CCNCC2)Oc2c1cccc2)CC,4.355561411,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 29,CCN(C(=O)c1ccc(nc1)C1=CC2(CCNCC2)Oc2c1cccc2)CC,4.144480844,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 31,CCN(C(=O)c1ccc(cc1C)C1=CC2(CCNCC2)Oc2c1cccc2)CC,5.348721986,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 32,CCN(C(=O)c1ccc(cc1F)C1=CC2(CCNCC2)Oc2c1cccc2)CC,5.42136079,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 33,CCN(C(=O)c1ccc(cc1O)C1=CC2(CCNCC2)Oc2c1cccc2)CC,4.675717545,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 34,CCN(C(=O)c1ccc(c(c1)C)C1=CC2(CCNCC2)Oc2c1cccc2)CC,5.37675071,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 35,CCN(C(=O)c1ccc(c(c1)F)C1=CC2(CCNCC2)Oc2c1cccc2)CC,6.378823718,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 36,CCN(C(=O)c1ccc(c(c1)O)C1=CC2(CCNCC2)Oc2c1cccc2)CC,4.366531544,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 30,CCN(C(=O)c1ncc(cn1)C1=CC2(CCNCC2)Oc2c1cccc2)CC,4,"(Didziapetris & Lanevskij, 2016)"
Somatostatin receptor antagonist 18,CCOc1cc(ccc1OC)CN1CCC(CC1)Nc1oc2c(n1)cc(cc2)S(=O)(=O)CC,6.744727495,"(Didziapetris & Lanevskij, 2016)"
Somatostatin receptor antagonist 58,CCOc1cc(CN2CCC(CC2)Nc2nc3c(o2)ccc(c3)C(=O)N)cc(c1F)OCC,6.366531544,"(Didziapetris & Lanevskij, 2016)"
Somatostatin receptor antagonist 22,CCOc1cc(ccc1OC)CN1CCC(CC1)Nc1nc2c(o1)ccc(c2)S(=O)(=O)N,5.455931956,"(Didziapetris & Lanevskij, 2016)"
Somatostatin receptor antagonist 59,CCOc1cc(CN2CCC(CC2)Nc2nc3c(o2)ccc(c3)C(=O)O)cc(c1Cl)OCC,4,"(Didziapetris & Lanevskij, 2016)"
Somatostatin receptor antagonist 60,CCOc1cc(ccc1Cl)CN1CCC(CC1)Nc1nc2c(o1)cc(cc2)C(=O)O,4,"(Didziapetris & Lanevskij, 2016)"
Somatostatin receptor antagonist 16,CCOc1cc(ccc1OC)CN1CCC(CC1)Nc1nc2c(o1)cccc2,7,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4a,COc1ccc(cc1)CCN1C(CN(C1=O)NS(=O)(=O)C)c1ccc(c(c1)C)C,4.801342913,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4b,COc1ccc(cc1)CCN1C(CN(C1=O)NS(=O)(=O)C)c1ccc(cc1)C,4.950781977,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4c,COc1ccc(cc1)CCN1C(=O)N(CC1c1ccc(cc1)C1CC1)NS(=O)(=O)C,5.075720714,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4d,COc1ccc(cc1)CCN1C(CN(C1=O)NS(=O)(=O)C)c1ccc(cc1)Cl,5.060480747,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4e,COc1ccc(cc1)CCN1C(=O)N(CC1c1ccc(cc1)C(F)(F)F)NS(=O)(=O)C,5.040958608,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4g,COc1ccc(cc1)CCN1C(=O)N(CC1c1ccc(cc1)OC)NS(=O)(=O)C,4.821023053,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4h,COc1ccc(cc1)CCN1C(CN(C1=O)NS(=O)(=O)C)c1ccc(cc1)OC(C)C,4.769551079,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4i,COCCOc1ccc(cc1)C1CN(C(=O)N1CCc1ccc(cc1)OC)NS(=O)(=O)C,4.48148606,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4j,COc1ccc(cc1)CCCN1C(=O)N(CC1c1ccc(cc1)OC)NS(=O)(=O)C,4.850780887,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4l,CCOc1ccc(cc1)CCN1C(CN(C1=O)NS(=O)(=O)C)c1ccc(cc1)OC,4.913640169,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4m,COc1ccc(cc1)C1CN(C(=O)N1CCc1ccc(cc1)OC(F)(F)F)NS(=O)(=O)C,5.251811973,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4n,COc1ccc(cc1)C1CN(C(=O)N1CCc1ccc(cc1)OC)NS(=O)(=O)Cc1ccccc1,5.356547324,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4o,N#CCS(=O)(=O)NN1CC(N(C1=O)CCc1ccc(cc1)OC)c1ccc(cc1)OC,4.48148606,"(Didziapetris & Lanevskij, 2016)"
Kv1.15 blocker 4p,COc1ccc(cc1)CCN1C(=O)N(CC1c1ccc(cc1)OC)NS(=O)(=O)CF,4.548213564,"(Didziapetris & Lanevskij, 2016)"
Glucorticoid receptor agonist 24,Fc1ccc(cc1)n1ncc2c1ccc(c2)C(C(F)(F)F)(c1ccnc(c1)Cl)O,5,"(Didziapetris & Lanevskij, 2016)"
Glucorticoid receptor agonist 25,Fc1ccc(cc1)n1ncc2c1ccc(c2)C(C(F)(F)F)(c1ccc(c(c1)Cl)F)O,5,"(Didziapetris & Lanevskij, 2016)"
Glucorticoid receptor agonist 26,N#Cc1cc(ccc1F)C(C(F)(F)F)(c1ccc2c(c1)cnn2c1ccc(cc1)F)O,5,"(Didziapetris & Lanevskij, 2016)"
Glucorticoid receptor agonist 27,Fc1ccc(cc1)n1ncc2c1ccc(c2)C(C(F)(F)F)(c1ccc(c(c1)C)F)O,5,"(Didziapetris & Lanevskij, 2016)"
Glucorticoid receptor agonist 28,Fc1ccc(cc1)n1ncc2c1ccc(c2)C(C(F)(F)F)(c1cccc(c1Cl)Cl)O,5,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 3,c1ccc(cc1)C1=CC2(CCNCC2)Oc2c1cccc2,6.167491087,"(Didziapetris & Lanevskij, 2016)"
Delta opiod receptor agonist 4,Cc1ccc(cc1)C1=CC2(CCNCC2)Oc2c1cccc2,6.337242168,"(Didziapetris & Lanevskij, 2016)"
erbB2 kinase inhibitor 2,O=C([C@H](Oc1cccc2c1c(ncn2)Nc1ccc2c(c1)cnn2Cc1ccccn1)C)N(C)C,4.602059991,"(Didziapetris & Lanevskij, 2016)"
erbB2 kinase inhibitor 22,O=C([C@H](Oc1cccc2c1c(ncn2)Nc1ccc2c(c1)cnn2Cc1nccs1)C)N1CCOCC1,4.638272164,"(Didziapetris & Lanevskij, 2016)"
erbB2 kinase inhibitor 6,OCCN(C(=O)[C@H](Oc1cccc2c1c(ncn2)Nc1ccc(c(c1)Cl)OCc1ccccn1)C)C,4.920818754,"(Didziapetris & Lanevskij, 2016)"
erbB2 kinase inhibitor 8,O=C([C@H](Oc1cccc2c1c(ncn2)Nc1ccc(c(c1)Cl)OCc1ccccn1)C)N1CCOCC1,5,"(Didziapetris & Lanevskij, 2016)"
erbB2 kinase inhibitor 10,O=C([C@@H](Oc1cccc2c1c(ncn2)Nc1ccc(c(c1)Cl)OCc1ccccn1)C)N(C)C,5,"(Didziapetris & Lanevskij, 2016)"
erbB2 kinase inhibitor 11,CNC(=O)[C@H](Oc1cccc2c1c(ncn2)Nc1ccc(c(c1)Cl)OCc1ccccn1)C,4.494850022,"(Didziapetris & Lanevskij, 2016)"
erbB2 kinase inhibitor 19,OCCN(C(=O)[C@H](Oc1cccc2c1c(ncn2)Nc1ccc(c(c1)C)OCc1cnccc1C)C)C,4.920818754,"(Didziapetris & Lanevskij, 2016)"
