Name,pIC50,Training.Test
CHEMBL550455,5.619788758,Training
CHEMBL554511,5.795880017,Training
CHEMBL3774588,6.099999035,Training
CHEMBL564514,7.920818754,Training
CHEMBL560923,8.356547324,Training
CHEMBL549908,6.356547324,Training
CHEMBL558248,5.886056648,Test
CHEMBL551414,4.265552228,Training
CHEMBL551536,5.803823815,Training
CHEMBL550410,5.920818754,Training
CHEMBL551281,5.522878745,Training
CHEMBL550943,5.477555766,Test
CHEMBL478013,6.26760624,Test
CHEMBL563251,5.070581074,Training
CHEMBL514042,6.050609993,Training
CHEMBL246464,5.037157319,Test
CHEMBL246258,4.958607315,Training
CHEMBL246816,5.508638306,Training
CHEMBL469542,6.07109231,Training
CHEMBL4096821,4.879426069,Training
CHEMBL1095158,5.27572413,Training
CHEMBL1096182,6,Test
CHEMBL562285,5.272458743,Training
CHEMBL564243,5.134896025,Training
CHEMBL3929578,4.675717545,Training
CHEMBL255645,5.356547324,Training
CHEMBL58387,6.244125144,Training
CHEMBL550393,7.602059991,Training
CHEMBL2146757,8.045757491,Test
CHEMBL3586441,5.091514981,Training
CHEMBL457930,5.853871964,Training
CHEMBL459176,5.15490196,Training
CHEMBL513258,5.045757491,Training
CHEMBL1649932,5.22184875,Training
CHEMBL1642362,5.795880017,Training
CHEMBL1668238,5.853871964,Training
CHEMBL1668239,5.13667714,Training
CHEMBL1668240,5.119186408,Training
CHEMBL550068,5.886056648,Training
CHEMBL557873,5.692503962,Training
CHEMBL539475,5.54668166,Training
CHEMBL561344,4.679853714,Training
CHEMBL472363,6.251811973,Training
CHEMBL4207309,4.602059991,Training
CHEMBL4169479,5.49390104,Training
CHEMBL568572,6.283996656,Training
CHEMBL2391935,5.920818754,Training
CHEMBL3353410,6.244125144,Training
CHEMBL3314429,4.225483034,Training
CHEMBL562831,6.040958608,Training
CHEMBL2443262,5.207608311,Test
CHEMBL4172217,4.900000142,Training
CHEMBL206249,5.180456064,Training
CHEMBL4169550,5.283996656,Training
CHEMBL495114,5.920818754,Test
CHEMBL494061,5.619788758,Training
CHEMBL523507,4.737311656,Training
CHEMBL2208435,5.200000237,Training
CHEMBL377114,5.886056648,Training
CHEMBL489324,5.677780705,Training
CHEMBL3609622,4.754487332,Training
CHEMBL3609636,5.571865206,Training
CHEMBL2324250,5.793713956,Training
CHEMBL2380451,5.065501549,Training
CHEMBL3408393,5.602059991,Training
CHEMBL58004,5.920818754,Training
CHEMBL2096837,5.853871964,Training
CHEMBL214122,5.744727495,Training
CHEMBL2203841,4.619788758,Training
CHEMBL2204583,4.522878745,Training
CHEMBL2337977,4.886056648,Test
CHEMBL1642184,6.853871964,Training
CHEMBL2324247,7.13076828,Test
CHEMBL2170070,5.13076828,Training
CHEMBL246050,4.180456064,Training
CHEMBL394639,6.346787486,Training
CHEMBL1813044,6.356547324,Test
CHEMBL1834644,5.251811973,Training
CHEMBL3220881,4.064492734,Training
CHEMBL557853,8.301029996,Test
CHEMBL3899336,6.579994715,Test
CHEMBL4575948,5.927015255,Training
CHEMBL3221125,6.970616222,Training
CHEMBL2207655,5.499999679,Test
CHEMBL3612802,5.886056648,Training
CHEMBL2204266,4.552841969,Training
CHEMBL2204246,4.665546249,Training
CHEMBL564501,5.761953897,Training
CHEMBL551876,5.886056648,Test
CHEMBL550816,5.161150909,Training
CHEMBL243899,6.099999035,Training
CHEMBL214629,5.091514981,Test
CHEMBL245120,5.700000504,Training
CHEMBL242600,7.400007822,Training
CHEMBL390429,7.400007822,Training
CHEMBL243900,6.499996932,Training
CHEMBL395743,6.599997654,Training
CHEMBL244276,7.400007822,Training
CHEMBL244084,6.099999035,Training
CHEMBL225036,5.284832642,Training
CHEMBL4093121,5.119186408,Test
CHEMBL4071141,4.869666232,Test
CHEMBL2158831,4.900000142,Training
CHEMBL250533,5.48148606,Training
CHEMBL398478,5.214670165,Training
CHEMBL246634,5.585026652,Training
CHEMBL246815,5.13076828,Test
CHEMBL415944,6.882728704,Training
CHEMBL476322,6.455931956,Training
CHEMBL3752154,4.853871964,Training
CHEMBL1093362,5.568636236,Test
CHEMBL401258,5.236572006,Test
CHEMBL395742,7.599980365,Training
CHEMBL3416025,5.431798276,Training
CHEMBL3416023,5,Training
CHEMBL3314433,4.392544977,Training
CHEMBL1837040,4.453457337,Training
CHEMBL3314349,5.30980392,Training
CHEMBL1834793,4.356547324,Training
CHEMBL1834633,5.022276395,Training
CHEMBL4218176,6.431798276,Test
CHEMBL247044,5.517698233,Test
CHEMBL246818,4.958607315,Training
CHEMBL246817,4.795880017,Training
CHEMBL4292990,7.096910013,Test
CHEMBL4283397,6.522878745,Training
CHEMBL4279463,4.769551079,Training
CHEMBL364912,5.113509275,Training
CHEMBL4111330,6.207608311,Training
CHEMBL4115628,6.397940009,Test
CHEMBL59511,5.886056648,Training
CHEMBL1289218,5.853871964,Training
CHEMBL195235,5.008773924,Training
CHEMBL3775033,5.300000202,Training
CHEMBL2158825,4.900000142,Test
CHEMBL1642477,8.619788758,Test
CHEMBL3577941,5.27572413,Training
CHEMBL2207660,5.700000504,Training
CHEMBL2207281,5.300000202,Test
CHEMBL217133,4.677780705,Training
CHEMBL2164356,5.180456064,Training
CHEMBL305660,6.979638717,Training
CHEMBL390649,7.500038134,Training
CHEMBL243901,5.899998417,Training
CHEMBL244280,6.599997654,Training
CHEMBL244278,7.100015437,Training
CHEMBL397429,7.299988938,Training
CHEMBL244083,5.599999383,Training
CHEMBL3813836,4.677780705,Training
CHEMBL205437,5.886056648,Test
CHEMBL379690,5.619788758,Test
CHEMBL375330,6.769551079,Training
CHEMBL3612801,5.455931956,Training
CHEMBL242598,5.400000186,Training
CHEMBL243898,6.599997654,Training
CHEMBL250126,5.251811973,Training
CHEMBL2164042,4.619788758,Training
CHEMBL2164366,5.259637311,Training
CHEMBL3314417,4.308918508,Training
CHEMBL3220882,4.03574037,Training
CHEMBL2158833,4.499999953,Training
CHEMBL2164387,5.065501549,Training
CHEMBL3609623,5.391473966,Training
CHEMBL3609626,5.448550002,Training
CHEMBL3609628,5.995678626,Training
CHEMBL1095499,6.522878745,Training
CHEMBL1097841,6.420216403,Training
CHEMBL1095554,6.200659451,Test
CHEMBL486644,6.026872146,Training
CHEMBL270314,5.642065153,Training
CHEMBL2036273,4.48148606,Training
CHEMBL4093627,8.022276395,Training
CHEMBL1766529,6.337242168,Training
CHEMBL3221123,4.087777943,Training
CHEMBL2207285,6.099999035,Training
CHEMBL2440398,4.360314339,Training
CHEMBL2177911,5.657577319,Test
CHEMBL2177908,4.795880017,Training
CHEMBL207478,5.657577319,Test
CHEMBL211012,5.698970004,Training
CHEMBL3792542,5.229147988,Training
CHEMBL3593779,4.542118103,Training
CHEMBL3921834,5.050609993,Training
CHEMBL374731,2.3,Test
CHEMBL298817,4.457672617,Test
CHEMBL381526,5.070581074,Training
CHEMBL2069499,6.823908741,Training
CHEMBL2069505,6.920818754,Training
CHEMBL2069506,7,Test
CHEMBL75880,5.110000065,Test
CHEMBL23,4.759999957,Test
CHEMBL123558,5.849999245,Test
CHEMBL2152252,4.761502265,Training
CHEMBL225090,6.346787486,Test
CHEMBL224547,5.759450752,Training
CHEMBL1813050,5.585026652,Training
CHEMBL2010872,4.698970004,Training
CHEMBL2021974,4.308918508,Training
CHEMBL2022501,4.200000031,Test
CHEMBL2022739,4.399999968,Training
CHEMBL464804,5.15739076,Training
CHEMBL3785952,6.013228266,Test
CHEMBL207220,5.397940009,Test
CHEMBL549433,7.958607315,Training
CHEMBL100454,4.939999857,Training
CHEMBL428594,7.795880017,Training
CHEMBL401608,6.730487056,Training
CHEMBL402624,4.705093089,Training
CHEMBL245642,5.494850022,Training
CHEMBL2059320,5.102372909,Training
CHEMBL2059312,5.031517051,Training
CHEMBL2022741,4.800000053,Training
CHEMBL3221108,5.89279003,Training
CHEMBL1642186,6.508638306,Training
CHEMBL1642474,8.721246399,Training
CHEMBL1642482,8.236572006,Training
CHEMBL2325995,4.126057762,Training
CHEMBL2204249,4.838631998,Training
CHEMBL2204248,4.602059991,Training
CHEMBL2325987,4.569328441,Training
CHEMBL2325982,5.187420845,Test
CHEMBL2031988,5.301029996,Training
CHEMBL2031996,6.124938737,Test
CHEMBL2031999,8,Training
CHEMBL4475126,4.318939756,Training
CHEMBL3408388,5.031517051,Training
CHEMBL3408394,5.244125144,Training
CHEMBL2022940,4.900000142,Training
CHEMBL2326689,4.823908741,Training
CHEMBL1649912,5.373659633,Training
CHEMBL212689,5.13667714,Training
CHEMBL1927163,5.698970004,Test
CHEMBL809,5.080017633,Test
CHEMBL2177915,5.537602002,Training
CHEMBL2177913,5.318758763,Training
CHEMBL2177912,5.142667504,Training
CHEMBL1952144,6.399996913,Training
CHEMBL3899686,7.698970004,Training
CHEMBL3947919,5.343901798,Training
CHEMBL2059316,4.657577319,Training
CHEMBL4204715,6.420216403,Training
CHEMBL2203843,5.301029996,Training
CHEMBL1289820,5.400000186,Test
CHEMBL1289936,5.400000186,Training
CHEMBL1642472,8.537602002,Training
CHEMBL584538,8.045757491,Training
CHEMBL4248282,5.4710833,Test
CHEMBL4096149,4.4867824,Test
CHEMBL3794510,5.744727495,Training
CHEMBL3774540,6.699991797,Test
CHEMBL1813015,5.420216403,Training
CHEMBL1834640,5.096910013,Test
CHEMBL1835064,5.200000237,Training
CHEMBL3417045,5.283996656,Training
CHEMBL3417047,5.657577319,Training
CHEMBL4562638,5.105683937,Training
CHEMBL3941520,5.559999796,Training
CHEMBL2386636,4.698970004,Training
CHEMBL3814424,5.43062609,Training
CHEMBL1760223,6.698970004,Training
CHEMBL2069404,5,Training
CHEMBL2164203,5.795880017,Training
CHEMBL2204589,5.096910013,Test
CHEMBL2164220,4.795880017,Test
CHEMBL2325728,4.677160727,Test
CHEMBL61536,6.259637311,Training
CHEMBL2180014,4.610833916,Training
CHEMBL1778867,4.795880017,Training
CHEMBL1779011,5.026872146,Training
CHEMBL247688,5.366531544,Test
CHEMBL429553,5.698970004,Test
CHEMBL2069930,4.508638306,Training
CHEMBL2086582,4.616184634,Training
CHEMBL1093294,5.744727495,Test
CHEMBL242602,6.299997603,Test
CHEMBL244085,6.099999035,Training
CHEMBL60796,9,Training
CHEMBL550261,5.518987579,Training
CHEMBL557121,5.292941059,Training
CHEMBL550669,5.289713352,Training
CHEMBL377697,5.823908741,Training
CHEMBL223997,5.744727495,Test
CHEMBL1095553,5.337242168,Test
CHEMBL1818218,6.236572006,Test
CHEMBL564919,5.657577319,Training
CHEMBL532,7.408935393,Training
CHEMBL2326693,5,Test
CHEMBL2326692,5.214670165,Training
CHEMBL2326690,4.721246399,Training
CHEMBL460009,8.327902142,Training
CHEMBL3,3.610000003,Training
CHEMBL416956,5.250000251,Training
CHEMBL559535,4.943095149,Training
CHEMBL4445885,4.540607512,Training
CHEMBL3612799,5.045757491,Training
CHEMBL2146876,5.795880017,Test
CHEMBL458359,5.26760624,Training
CHEMBL458954,5.48148606,Test
CHEMBL2069921,4.896196279,Training
CHEMBL1504335,4.563837353,Test
CHEMBL1095159,7.096910013,Training
CHEMBL1095789,5.920818754,Test
CHEMBL1095151,5.795880017,Test
CHEMBL1098876,5.698970004,Training
CHEMBL3775408,6.199998172,Test
CHEMBL3775554,6.799998135,Training
CHEMBL3775872,6.199998172,Training
CHEMBL3775967,6,Training
CHEMBL487763,6,Training
CHEMBL486537,4.958607315,Training
CHEMBL562870,4.853871964,Training
CHEMBL1951898,5.494850022,Test
CHEMBL1952143,4.499999953,Training
CHEMBL523134,5.761953897,Training
CHEMBL3093977,5.252588192,Training
CHEMBL191054,5.602059991,Training
CHEMBL4076563,5.214670165,Training
CHEMBL4078730,5.026872146,Training
CHEMBL203045,5.657577319,Training
CHEMBL378547,5.107905397,Test
CHEMBL262736,5.107905397,Training
CHEMBL2069501,6.754487332,Test
CHEMBL197243,6.744727495,Training
CHEMBL3947980,5.100000128,Training
CHEMBL3893197,5.800000875,Training
CHEMBL3925977,4.499999953,Test
CHEMBL52999,7.443697499,Training
CHEMBL247690,4.468521083,Test
CHEMBL248296,4.187086643,Test
CHEMBL429458,5.200000237,Training
CHEMBL55835,6.237321436,Training
CHEMBL563761,4.183096161,Training
CHEMBL2338405,5.795880017,Training
CHEMBL2208429,6.599997654,Training
CHEMBL2158775,5,Training
CHEMBL401407,5.619788758,Training
CHEMBL17350,5,Training
CHEMBL3237565,5.300000202,Training
CHEMBL3237574,5.400000186,Training
CHEMBL4103602,6.585026652,Training
CHEMBL4076401,5.63638802,Training
CHEMBL2177113,5.455931956,Training
CHEMBL300927,4.124938737,Training
CHEMBL242601,5.700000504,Training
CHEMBL1829605,5.552841969,Test
CHEMBL4066520,5.045757491,Training
CHEMBL248297,4.37675071,Training
CHEMBL4068841,4.991399828,Training
CHEMBL2204588,5.22184875,Test
CHEMBL3356246,4.585026652,Test
CHEMBL2326686,4.638272164,Training
CHEMBL561463,4.795880017,Training
CHEMBL561585,5.638272164,Training
CHEMBL551924,5.769551079,Test
CHEMBL549639,5.200659451,Training
CHEMBL560863,5.537602002,Test
CHEMBL556439,5.191856574,Training
CHEMBL550471,4.733509592,Training
CHEMBL493087,6.366531544,Training
CHEMBL94664,6.699991797,Test
CHEMBL193,4.300000029,Training
CHEMBL4279819,3.920818754,Training
CHEMBL271998,1.18,
CHEMBL271971,1.55,
CHEMBL495094,4.22184875,Training
CHEMBL494265,6.178486472,Test
CHEMBL2164037,5.443697499,Training
CHEMBL511658,5.036212173,Training
CHEMBL476723,5.301029996,Training
CHEMBL3617456,5.214670165,Training
CHEMBL4515350,5.27572413,Training
CHEMBL2069399,5.200000237,Test
CHEMBL2069421,5.100000128,Test
CHEMBL2069500,7.113509275,Training
CHEMBL2069507,7,Training
CHEMBL2069510,5.008773924,Training
CHEMBL3093949,5.317854924,Training
CHEMBL206798,4.823908741,Training
CHEMBL2208427,6.599997654,Training
CHEMBL2208432,6.299997603,Test
CHEMBL518155,4.619788758,Training
CHEMBL482056,6.301029996,Training
CHEMBL224497,5.602059991,Training
CHEMBL390353,5.231361899,Test
CHEMBL225193,5.036684489,Test
CHEMBL243474,6.399996913,Training
CHEMBL246635,5.795880017,Test
CHEMBL404852,5,Test
CHEMBL3967709,4.700000069,Test
CHEMBL2069420,5.200000237,Test
CHEMBL557648,6.26760624,Training
CHEMBL1829604,5.619788758,Training
CHEMBL4089234,4.397940009,Training
CHEMBL4104623,4.397940009,Test
CHEMBL377734,4.779891912,Test
CHEMBL250743,4.744727495,Training
CHEMBL250125,5,Training
CHEMBL456808,5.568636236,Training
CHEMBL3827512,4.679853714,Training
CHEMBL2442379,4.237321436,Training
CHEMBL456019,6.605548319,Training
CHEMBL469724,5.397940009,Test
CHEMBL478395,5.27572413,Training
CHEMBL477363,5.091514981,Training
CHEMBL478462,5.837137007,Training
CHEMBL513921,5.238824187,Training
CHEMBL478011,6.37675071,Training
CHEMBL515025,6.148741651,Training
CHEMBL460893,6.13076828,Test
CHEMBL1951916,5.397940009,Training
CHEMBL1951918,5.102372909,Training
CHEMBL2337978,5.180456064,Test
CHEMBL2338409,5.236572006,Training
CHEMBL356066,4.913640169,Training
CHEMBL1093051,4.815308569,Test
CHEMBL560063,5.455931956,Test
CHEMBL549635,6.200659451,Training
CHEMBL557306,5.991399828,Training
CHEMBL553196,5.756961951,Training
CHEMBL3120287,5.744727495,Test
CHEMBL511742,5.508638306,Training
CHEMBL3981856,5.119999757,Training
CHEMBL3902262,4.677780705,Training
CHEMBL707,5.654528246,Test
CHEMBL560921,5.795880017,Training
CHEMBL559987,5.15490196,Test
CHEMBL494504,7.15490196,Training
CHEMBL3912801,5.159999982,Training
CHEMBL485620,4.300162274,Training
CHEMBL508861,5.695078838,Training
CHEMBL506077,5.274741934,Training
CHEMBL270969,5.720000164,Training
CHEMBL411448,1.43,Training
CHEMBL270467,6.022276395,Test
CHEMBL521947,5.363512104,Test
CHEMBL494230,7.638272164,Training
CHEMBL494406,5.045757491,Training
CHEMBL512975,4.638272164,Training
CHEMBL1089301,5.494850022,Training
CHEMBL2180034,4.540607512,Training
CHEMBL2180835,5.336299075,Training
CHEMBL2324254,8.292429824,Test
CHEMBL451136,3.769999988,Training
CHEMBL1771129,4.94577009,Training
CHEMBL568571,6.853871964,Training
CHEMBL2207671,5.200000237,Test
CHEMBL1779003,5.723538196,Training
CHEMBL1645462,5.397940009,Training
CHEMBL379984,5.522878745,Training
CHEMBL1649913,5.823908741,Training
CHEMBL377596,4.744727495,Training
CHEMBL202788,4.602059991,Training
CHEMBL204408,5.823908741,Test
CHEMBL2059323,5.721246399,Training
CHEMBL2059322,5.356547324,Training
CHEMBL2059321,5.200659451,Training
CHEMBL3764377,4.958607315,Test
CHEMBL478224,5.297569464,Training
CHEMBL533,8,Training
CHEMBL2023921,5.200000237,Training
CHEMBL219916,7.240030142,Test
CHEMBL2031965,7,Training
CHEMBL4099807,4.698970004,Training
CHEMBL2069411,5,Training
CHEMBL2069416,5.400000186,Training
CHEMBL2069502,6.420216403,Test
CHEMBL2069512,6.15490196,Training
CHEMBL511205,5.200659451,Training
CHEMBL4093540,5.318758763,Test
CHEMBL4076097,6.096910013,Training
CHEMBL195180,7.522878745,Training
CHEMBL384400,5.48148606,Training
CHEMBL2022496,5.100000128,Training
CHEMBL2022497,4.499999953,Training
CHEMBL2022498,4.700000069,Training
CHEMBL2031974,5.30980392,Training
CHEMBL2031978,6.15490196,Training
CHEMBL2031983,7.397940009,Test
CHEMBL2031986,5.301029996,Training
CHEMBL2031997,6.187086643,Training
CHEMBL584549,8,Training
CHEMBL1084400,6.795880017,Training
CHEMBL1094041,4.54668166,Test
CHEMBL1091777,6.30980392,Test
CHEMBL1092377,6.48148606,Training
CHEMBL1093058,5.698970004,Test
CHEMBL4205995,5.346787486,Test
CHEMBL12780,8.15490196,Training
CHEMBL2170231,5.13076828,Training
CHEMBL52627,7.468521083,Training
CHEMBL3794155,5.031517051,Training
CHEMBL2059317,5.27572413,Training
CHEMBL2059311,5.180456064,Training
CHEMBL1760230,4.692503962,Training
CHEMBL1760236,7.468521083,Training
CHEMBL2207280,5.899998417,Training
CHEMBL1834782,4.602059991,Training
CHEMBL1813317,5.363512104,Training
CHEMBL3099950,6.397940009,Training
CHEMBL3099945,5.619788758,Training
CHEMBL3099944,6.15490196,Training
CHEMBL3099959,5.920818754,Training
CHEMBL3093950,6.078833949,Training
CHEMBL2325736,4.096237378,Training
CHEMBL2338407,5.27572413,Test
CHEMBL2380444,5.211124884,Training
CHEMBL2382364,5.143875556,Training
CHEMBL2382345,5.001304842,Training
CHEMBL2382342,4.987162775,Test
CHEMBL1642190,5.950781977,Training
CHEMBL2316378,4.958607315,Test
CHEMBL2042321,4.694648631,Test
CHEMBL1642479,9.173925197,Test
CHEMBL585509,7.638272164,Training
CHEMBL494462,5.102372909,Training
CHEMBL566974,6.639993868,Training
CHEMBL3927856,4.279014256,Training
CHEMBL3577935,4.494850022,Training
CHEMBL490,4.98174484,Training
CHEMBL3084761,5.853871964,Training
CHEMBL1080584,6.366531544,Training
CHEMBL171377,6.283996656,Training
CHEMBL1125,4.84999986,Test
CHEMBL2158563,4.749579998,Test
CHEMBL2152522,4.499999953,Test
CHEMBL2177910,5.193820026,Training
CHEMBL2204259,4.494850022,Training
CHEMBL2204250,5.15490196,Test
CHEMBL2204247,4.756961951,Training
CHEMBL1800774,5.318758763,Training
CHEMBL1289097,5.455931956,Training
CHEMBL513585,7.065501549,Training
CHEMBL513423,4.886056648,Training
CHEMBL2022499,5.100000128,Training
CHEMBL2023929,5.300000202,Test
CHEMBL2024309,4.619788758,Training
CHEMBL2022495,5.300000202,Training
CHEMBL2069403,5.100000128,Training
CHEMBL2069409,5.200000237,Training
CHEMBL3696120,5.958607315,Test
CHEMBL1945694,5.15490196,Test
CHEMBL1642476,8.920818754,Training
CHEMBL1642493,8.769551079,Test
CHEMBL4215015,5,Training
CHEMBL1271520,5.494850022,Training
CHEMBL1272232,5.318758763,Training
CHEMBL1829630,5.823908741,Training
CHEMBL1094042,4.869666232,Training
CHEMBL4071864,3.709965389,Training
CHEMBL1778865,5.723538196,Training
CHEMBL4089937,5.118045029,Test
CHEMBL2322001,4.812479279,Training
CHEMBL566257,7.769551079,Test
CHEMBL582792,5.747146969,Training
CHEMBL1835060,5.599999383,Training
CHEMBL1835067,5.400000186,Training
CHEMBL1837037,4.747146969,Training
CHEMBL1837038,4.325138859,Training
CHEMBL2170213,5.346787486,Training
CHEMBL2380456,4.920818754,Training
CHEMBL2380447,5.096910013,Training
CHEMBL2380439,5.795880017,Training
CHEMBL565614,6.552841969,Training
CHEMBL585664,5.435333936,Training
CHEMBL2022731,4.900000142,Test
CHEMBL2024389,4.583359493,Training
CHEMBL1716297,4.809668302,Training
CHEMBL1289282,5.744727495,Test
CHEMBL2058837,4.659555885,Test
CHEMBL2325984,5.795880017,Training
CHEMBL2321996,5,Test
CHEMBL4094163,6.730487056,Training
CHEMBL3099952,6.301029996,Test
CHEMBL247891,6.13076828,Training
CHEMBL2022504,5.200000237,Training
CHEMBL11,5.4700002,Test
CHEMBL31,3.889999984,Training
CHEMBL1106,4,Test
CHEMBL238872,4.300000029,Training
CHEMBL2206288,3.522878745,Training
CHEMBL3425929,4.514278574,Training
CHEMBL1289503,5.599999383,Training
CHEMBL3950251,4.982966661,Test
CHEMBL239963,4.700000069,Training
CHEMBL239081,6.299997603,Training
CHEMBL238870,4.900000142,Training
CHEMBL394015,5.100000128,Test
CHEMBL246051,5.200659451,Test
CHEMBL247689,5.795880017,Training
CHEMBL224834,5.844663963,Training
CHEMBL223219,5.469800302,Training
CHEMBL390735,5.764471553,Test
CHEMBL3775214,5.800000875,Training
CHEMBL3774519,6.299997603,Training
CHEMBL223998,5.318758763,Training
CHEMBL242603,5.899998417,Training
CHEMBL244279,7.599980365,Training
CHEMBL3908862,6.250001023,Training
CHEMBL3330811,4.966576245,Training
CHEMBL429663,4.568636236,Test
CHEMBL1800769,4.954677021,Test
CHEMBL399378,5.200659451,Test
CHEMBL250532,5.619788758,Training
CHEMBL377566,4.714442691,Training
CHEMBL508712,5.698970004,Training
CHEMBL488251,5.522878745,Training
CHEMBL2208431,6.399996913,Training
CHEMBL272241,2.53,Training
CHEMBL410862,0.29,Training
CHEMBL272842,0.12,Training
CHEMBL271405,1.48,Training
CHEMBL478012,6.443697499,Training
CHEMBL4163469,5.30980392,Training
CHEMBL454085,5.086186148,Training
CHEMBL1642188,6.008773924,Training
CHEMBL562677,6.045757491,Training
CHEMBL551197,5.080921908,Test
CHEMBL1641614,8.091514981,Test
CHEMBL1642491,8.031517051,Training
CHEMBL1642492,8.15490196,Training
CHEMBL556506,5.853871964,Training
CHEMBL1642471,8.366531544,Training
CHEMBL1642486,8.366531544,Test
CHEMBL538936,6.096910013,Training
CHEMBL3329814,4.091514981,Training
CHEMBL4293473,4.946921557,Test
CHEMBL494105,6.13667714,Training
CHEMBL492846,5.8569852,Training
CHEMBL395332,5.148741651,Training
CHEMBL2177587,5,Training
CHEMBL446514,5.522878745,Test
CHEMBL1649930,5.301029996,Training
CHEMBL240394,4.399999968,Training
CHEMBL400612,4.900000142,Training
CHEMBL3099942,5.337242168,Training
CHEMBL3099961,4.882728704,Test
CHEMBL244946,5.700000504,Test
CHEMBL243896,7.7000571,Training
CHEMBL2409182,4.795880017,Training
CHEMBL472304,4.886056648,Training
CHEMBL515477,5.193820026,Training
CHEMBL477360,5.22184875,Training
CHEMBL2380442,5.22184875,Test
CHEMBL485629,4.18243463,Test
CHEMBL456173,4.145693958,Training
CHEMBL485547,6.017728767,Training
CHEMBL472138,5.568636236,Training
CHEMBL1829635,5.119186408,Training
CHEMBL1829613,5.387216143,Training
CHEMBL567916,4.408935393,Training
CHEMBL3093987,6.013228266,Test
CHEMBL3093961,6.910094889,Test
CHEMBL3093978,5.723538196,Test
CHEMBL2177914,4.721246399,Training
CHEMBL2177909,5.102372909,Training
CHEMBL53866,5.657577319,Training
CHEMBL3120274,5.568636236,Test
CHEMBL4281315,6.958607315,Training
CHEMBL4289183,6.22184875,Training
CHEMBL2017597,5.602059991,Training
CHEMBL2017760,5.920818754,Training
CHEMBL3099943,6,Training
CHEMBL2069410,4.600000075,Training
CHEMBL2069925,4.522878745,Training
CHEMBL2152524,4.499999953,Training
CHEMBL1813315,5.634512015,Training
CHEMBL2158816,4.600000075,Test
CHEMBL2164047,5.27572413,Training
CHEMBL2164375,4.958607315,Training
CHEMBL4216339,5.107905397,Training
CHEMBL4076697,4.346787486,Test
CHEMBL3416024,5.091514981,Training
CHEMBL3329813,4.602059991,Test
CHEMBL1813043,5.714442691,Training
CHEMBL1834787,4.443697499,Training
CHEMBL1834786,4.920818754,Training
CHEMBL1834720,5.251811973,Training
CHEMBL515757,5.700000504,Training
CHEMBL2069400,5.100000128,Training
CHEMBL2069413,4.800000053,Training
CHEMBL1779005,5.205511953,Training
CHEMBL1779007,5.661543506,Test
CHEMBL4204909,5.22184875,Training
CHEMBL1814154,4.643974143,Training
CHEMBL1760229,5.707743929,Training
CHEMBL1760243,7.795880017,Training
CHEMBL1760247,6.537602002,Training
CHEMBL3425932,4.473660723,Test
CHEMBL3577940,5.795880017,Training
CHEMBL3990823,5.331614083,Training
CHEMBL4075428,4.080921908,Test
CHEMBL432798,4.543633967,Test
CHEMBL321494,5.559090918,Test
CHEMBL4067063,5.096910013,Training
CHEMBL3604690,5.366531544,Training
CHEMBL429763,1,Training
CHEMBL429924,0.8,Training
CHEMBL272679,5.379863945,Training
CHEMBL3926847,6.119998612,Training
CHEMBL3955505,6.279997898,Training
CHEMBL3984387,6.950007143,Training
CHEMBL3949662,6.030002001,Training
CHEMBL3968272,5.200000237,Training
CHEMBL3740472,5.292429824,Training
CHEMBL2031962,6.602059991,Training
CHEMBL2031969,7,Training
CHEMBL2031977,5.721246399,Training
CHEMBL2031987,5.698970004,Training
CHEMBL2031989,5.698970004,Training
CHEMBL2031998,7,Training
CHEMBL3908174,6.20999648,Training
CHEMBL1760244,7.346787486,Training
CHEMBL271768,7.68006156,Test
CHEMBL409449,0.19,Training
CHEMBL271766,0.6,Training
CHEMBL1829633,4.869666232,Training
CHEMBL1829618,5.420216403,Training
CHEMBL1829609,5.397940009,Training
CHEMBL3741159,4.320572103,Training
CHEMBL1800137,5.251811973,Training
CHEMBL256954,6.886056648,Test
CHEMBL428602,7.26760624,Training
CHEMBL1346,5.800000875,Training
CHEMBL491571,2.1,Training
CHEMBL1189679,5.400000186,Training
CHEMBL2059313,4.886056648,Training
CHEMBL601821,4.721246399,Training
CHEMBL2036275,4.787812396,Training
CHEMBL2024310,4.640164518,Test
CHEMBL2022935,4.900000142,Training
CHEMBL1760245,6.431798276,Training
CHEMBL1760246,6.920818754,Training
CHEMBL1760249,5.335358024,Test
CHEMBL2069407,5.599999383,Training
CHEMBL2069412,4.800000053,Training
CHEMBL2069511,5.455931956,Test
CHEMBL2069513,6.619788758,Training
CHEMBL1779006,5.41453927,Training
CHEMBL1779008,5.175874166,Training
CHEMBL2204586,6,Test
CHEMBL2203848,4.795880017,Training
CHEMBL2164365,5.036212173,Training
CHEMBL2165068,4.244125144,Training
CHEMBL1771138,4.897909474,Training
CHEMBL4293287,4.838631998,Training
CHEMBL4242175,5.899998417,Training
CHEMBL4247617,5,Training
CHEMBL1630579,5.228971362,Training
CHEMBL3218997,5.705533774,Training
CHEMBL3221113,4.028724151,Training
CHEMBL2031991,6.096910013,Training
CHEMBL2023924,5.400000186,Training
CHEMBL4062161,5.4867824,Training
CHEMBL2023917,5.100000128,Training
CHEMBL2023927,4.900000142,Training
CHEMBL2424933,3.68613278,Training
CHEMBL409419,6.54515514,Training
CHEMBL3127708,4.681936665,Training
CHEMBL3344385,6.853871964,Test
